NDVI,GNDVI,SAVI,RVI,EVI,label,label_str
0.69270235,0.60573286,0.4284203,5.508349,0.45367983,1,Sehat
0.7391997,0.62560475,0.55567193,6.6687026,0.73770165,1,Sehat
0.76888514,0.6290895,0.55716944,7.6537037,0.6490011,1,Sehat
0.7807158,0.6332446,0.64836633,8.120588,0.8460893,1,Sehat
0.7509824,0.6522248,0.55378747,7.031562,0.6790724,1,Sehat
0.68888885,0.60174423,0.45378572,5.428571,0.504395,1,Sehat
0.7589236,0.64298534,0.47975004,7.2961273,0.55448556,1,Sehat
0.59854305,0.5408621,0.44628847,3.981855,0.5234657,1,Sehat
0.7605798,0.63766855,0.5259782,7.353516,0.62106234,1,Sehat
0.8044954,0.6821506,0.5857349,9.229935,0.67540145,1,Sehat
0.7545108,0.63834834,0.49843317,7.146998,0.55443513,1,Sehat
0.69586986,0.6073547,0.51092505,5.576132,0.58602405,1,Sehat
0.68257487,0.64648384,0.4288703,5.300699,0.4588183,1,Sehat
0.7442944,0.60179645,0.5158167,6.8214936,0.59753954,1,Sehat
0.7750337,0.67322755,0.5477047,7.8902197,0.6139509,1,Sehat
0.7614556,0.6610887,0.53798145,7.3841805,0.6309559,1,Sehat
0.7345446,0.6466134,0.5227058,6.5342236,0.6023768,1,Sehat
0.6782753,0.61293256,0.46573043,5.2164946,0.5181525,1,Sehat
0.7063163,0.6574116,0.4921825,5.810047,0.5454675,1,Sehat
0.64445794,0.5248526,0.38448566,4.6252127,0.48619998,1,Sehat
0.7524023,0.65722734,0.5330343,7.0776176,0.6095221,1,Sehat
0.6503795,0.571719,0.44628906,4.720488,0.49733374,1,Sehat
0.7671722,0.6752643,0.54407424,7.5900383,0.65591276,1,Sehat
0.7033639,0.6402454,0.4639175,5.7422676,0.48407465,1,Sehat
0.76648515,0.65127236,0.5724972,7.564767,0.6610894,1,Sehat
0.6969995,0.6005567,0.46889475,5.6006494,0.51031804,1,Sehat
0.6963938,0.62625563,0.47089192,5.58748,0.4998601,1,Sehat
0.61295176,0.56388414,0.40772483,4.167315,0.42317954,1,Sehat
0.75588596,0.66607875,0.27668583,7.1928935,0.26898316,1,Sehat
0.8143068,0.69218665,0.5943629,9.770454,0.71283436,1,Sehat
0.579692,0.5226634,0.4261676,3.7584157,0.51040596,1,Sehat
0.60439557,0.5671413,0.42737076,4.0555553,0.5005014,1,Sehat
0.6158837,0.5782002,0.40206712,4.206757,0.41842997,1,Sehat
0.7910524,0.67006403,0.52249837,8.571776,0.58281523,1,Sehat
0.7044419,0.6052561,0.43597275,5.766859,0.49601024,1,Sehat
0.7618448,0.64204764,0.55793244,7.397887,0.6576185,1,Sehat
0.7140649,0.59913486,0.36531362,5.9945946,0.40685132,1,Sehat
0.72258323,0.60826695,0.53778714,6.2093706,0.6669666,1,Sehat
0.7281554,0.6282474,0.37128714,6.357143,0.40983608,1,Sehat
0.7785769,0.6830335,0.5112448,8.032482,0.5533849,1,Sehat
0.7765726,0.6804309,0.49447513,7.951456,0.54066294,1,Sehat
0.76633495,0.671923,0.5521721,7.559259,0.6578996,1,Sehat
0.5683035,0.52440876,0.40284806,3.6328852,0.47270703,1,Sehat
0.7413911,0.64639926,0.51960576,6.733686,0.6077771,1,Sehat
0.64767087,0.60479045,0.44517285,4.67651,0.49650148,1,Sehat
0.5085882,0.48678777,0.37262124,3.0699062,0.42068058,1,Sehat
0.75459045,0.67129374,0.46062148,7.1496434,0.5001545,1,Sehat
0.75017446,0.63494134,0.5202172,7.0055866,0.6284589,1,Sehat
0.769552,0.6525439,0.5922283,7.678748,0.737869,1,Sehat
0.7423714,0.6482474,0.53285354,6.7631135,0.5885402,1,Sehat
0.80409175,0.68956834,0.59320056,9.20886,0.7128202,1,Sehat
0.5755287,0.4752476,0.29890168,3.7117436,0.3697055,1,Sehat
0.68301266,0.5733076,0.50355947,5.309399,0.63478327,1,Sehat
0.5676835,0.52870095,0.38853848,3.6262405,0.4220112,1,Sehat
0.78368473,0.6815727,0.5478428,8.245763,0.65484625,1,Sehat
0.68786806,0.6158617,0.52070534,5.4075475,0.641218,1,Sehat
0.7318172,0.626108,0.5296036,6.4576,0.63045245,1,Sehat
0.75751495,0.65627944,0.50444835,7.247934,0.5876637,1,Sehat
0.6331903,0.5544662,0.3907593,4.4524183,0.41778368,1,Sehat
0.79937994,0.6775392,0.5690416,8.969095,0.6750945,1,Sehat
0.74442583,0.63285464,0.5078508,6.8255157,0.598335,1,Sehat
0.6725178,0.620085,0.425399,5.1072025,0.45119974,1,Sehat
0.7587132,0.6692112,0.51296276,7.288889,0.55836564,1,Sehat
0.6648225,0.60703164,0.46326837,4.966987,0.51232857,1,Sehat
